condition,strategy,n,loophole_prior,replicates,selected_true_utility_mean,selected_true_utility_stderr,selected_execution_success_mean,selected_semantic_bad_mean,selected_loophole_mean,selected_proxy_true_gap_mean,pool_checker_pass_rate_mean,pool_execution_success_rate_mean,pool_valid_semantic_bad_rate_mean
budget,adversarial_gate,1,,96,35.66770833333333,3.783864488989314,0.2604166666666667,0.5416666666666666,0.28125,28.891206337089244,0.8020833333333334,0.2604166666666667,0.5416666666666666
budget,adversarial_gate,2,,96,58.03854166666667,3.0765754663944653,0.5,0.4479166666666667,0.16666666666666666,15.771433070584031,0.8125,0.3385416666666667,0.5520833333333334
budget,adversarial_gate,4,,96,70.14895833333333,2.323248252924893,0.6979166666666666,0.3020833333333333,0.125,3.693935432992646,0.8098958333333334,0.3333333333333333,0.603298611111111
budget,adversarial_gate,8,,96,78.02916666666665,1.5809112938447394,0.84375,0.15625,0.020833333333333332,-9.60868837858577,0.796875,0.2994791666666667,0.6319940476190476
budget,adversarial_gate,16,,96,82.93333333333332,0.8200698871944029,0.9583333333333334,0.041666666666666664,0.0,-16.93677311430212,0.7936197916666666,0.2819010416666667,0.6474625923844674
budget,adversarial_gate,32,,96,84.18333333333332,0.41666666666666663,0.9895833333333334,0.010416666666666666,0.0,-18.593056007049597,0.7945963541666666,0.2939453125,0.6308640067889203
budget,adversarial_gate,64,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-19.077910359628326,0.7950846354166666,0.2911783854166667,0.634177599469193
budget,adversarial_gate,128,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-18.965739581845863,0.7932942708333334,0.2976888020833333,0.6248480173934758
budget,adversarial_gate,256,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-18.881993673063114,0.7930908203125,0.3017171223958333,0.619398374471901
budget,adversarial_gate,512,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-18.796056305263857,0.791259765625,0.3011067708333333,0.6193431864305503
budget,calibrated_boundary,1,,96,35.66770833333333,3.783864488989314,0.2604166666666667,0.5416666666666666,0.28125,28.891206337089244,0.8020833333333334,0.2604166666666667,0.5416666666666666
budget,calibrated_boundary,2,,96,60.026041666666664,3.02456472321126,0.53125,0.4166666666666667,0.13541666666666666,13.014494705402283,0.8125,0.3385416666666667,0.5520833333333334
budget,calibrated_boundary,4,,96,72.13645833333332,2.138558458458614,0.7291666666666666,0.2708333333333333,0.09375,0.9439234126718064,0.8098958333333334,0.3333333333333333,0.603298611111111
budget,calibrated_boundary,8,,96,78.02916666666665,1.5809112938447394,0.84375,0.15625,0.020833333333333332,-9.60868837858577,0.796875,0.2994791666666667,0.6319940476190476
budget,calibrated_boundary,16,,96,82.93333333333332,0.8200698871944029,0.9583333333333334,0.041666666666666664,0.0,-16.93677311430212,0.7936197916666666,0.2819010416666667,0.6474625923844674
budget,calibrated_boundary,32,,96,84.18333333333332,0.41666666666666663,0.9895833333333334,0.010416666666666666,0.0,-18.593056007049597,0.7945963541666666,0.2939453125,0.6308640067889203
budget,calibrated_boundary,64,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-19.077910359628326,0.7950846354166666,0.2911783854166667,0.634177599469193
budget,calibrated_boundary,128,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-18.965739581845863,0.7932942708333334,0.2976888020833333,0.6248480173934758
budget,calibrated_boundary,256,,96,84.6,1.4580029302424496e-15,1.0,0.0,0.0,-18.881993673063114,0.7930908203125,0.3017171223958333,0.619398374471901
